"","Year","IceOnDate","IceOnJulian","IceOffDate","IceOffJulian","AnnualMax","AnnualMin","AnnualRain","AnnualSnow","SnowDepth","SpringMax","SpringMin","SpringRain","SpringSnow","SummerMax","SummerMin","SummerRain","SummerSnow","FallMax","FallMin","FallRain","FallSnow","WinterMax","WinterMin","WinterRain","WinterSnow"
"68",1994,"25-Dec",359,"16-May",136,27.77777778,-33.33333333,226.94016912404,256.167831123,1981.2,20,-23.33333333,62.422358716,42.987641324,27.77777778,-5,121.200517806,6.307482305,23.88888889,-26.11111111,41.734225953,59.35777408,6.111111111,-33.33333333,1.58306664904,147.514933414
"69",1995,"1-Dec",335,"3-Jun",154,27.22222222,-35.55555556,227.882862500917,341.331137581,1803.4,15,-27.22222222,45.163660098,140.510339955,27.22222222,-5,149.155825728,4.768174276,25.55555556,-23.88888889,28.560281266,77.357718752,7.222222222,-35.55555556,5.003095408917,118.694904598
"70",1996,"19-Dec",353,"3-Jun",154,27.77777778,-40.55555556,192.58944509757,346.398554949,2082.8,15.55555556,-28.88888889,64.088883872,147.493116113,27.77777778,-8.888888889,83.627676374,1.716323584,25,-21.11111111,43.341415578,94.326584453,5.555555556,-40.55555556,1.53146927357,102.862530799
"71",1997,"26-Dec",360,"20-May",140,26.11111111,-33.88888889,276.6798762189,203.380123531,1295.4,15.55555556,-25.55555556,33.755945399,61.240054558,26.11111111,-2.222222222,180.060519304,0.279480566,24.44444444,-20,51.127892797,45.392107203,3.333333333,-33.88888889,11.7355187189,96.468481204
"72",1998,"26-Jan",391,"15-May",135,28.88888889,-36.66666667,222.594859295674,269.403140719,1447.8,18.88888889,-27.22222222,39.023729097,78.324270906,28.88888889,-5,141.805732146,10.594267924,26.66666667,-19.44444444,41.087335104,68.132664835,6.111111111,-36.66666667,0.678062948674,112.351937054
"73",1999,"26-Dec",360,"29-May",149,26.11111111,-31.11111111,235.7312273551,356.342772589,1422.4,18.88888889,-31.11111111,28.383781771,113.348218205,26.11111111,-5.555555556,167.298114903,18.62988507,20.55555556,-19.44444444,39.691810543,28.888189458,6.666666667,-31.11111111,0.3575201381,195.476479856
"74",2000,"27-Dec",361,"6-May",126,30.55555556,-30,166.783088992,297.020911005,NA,16.66666667,-27.22222222,70.835799827,97.058200181,30.55555556,-5.555555556,58.298753135,1.645246857,26.66666667,-23.33333333,36.948923512,34.679076488,6.111111111,-30,0.699612518,163.638387479
"75",2001,"24-Dec",358,"15-May",135,28.88888889,-35,145.31371834996,267.182281779,1219.2,23.88888889,-27.22222222,39.351061675,110.762938386,28.88888889,-2.222222222,56.623029009,0.018971003,27.22222222,-21.11111111,49.193430031,67.138569969,4.444444444,-35,0.14619763496,89.261802421
"76",2002,"24-Dec",358,"21-May",141,30.55555556,-35,219.058883761015,247.793116239,1320.8,21.66666667,-33.33333333,41.35844317005,101.389556835,30.55555556,-5.555555556,105.17058821,2.525411789,25,-22.22222222,71.759245915,44.826754158,6.666666667,-35,0.770606465965,99.051393457
"77",2003,"11-Jan",376,"23-May",143,33.33333333,-39.44444444,164.9536613171,280.816338605,889,25.55555556,-24.44444444,42.022193792,106.313806202,33.33333333,-6.111111111,79.2258042,2.308195736,27.22222222,-23.33333333,42.445007151,36.802992855,3.888888889,-39.44444444,1.2606561741,135.391343812
"78",2004,"11-Jan",376,"5-May",125,26.66666667,-32.22222222,257.5011407274,235.512859333,1041.4,17.77777778,-21.11111111,41.344711261,85.909288771,26.66666667,-4.444444444,163.013869618,4.626130453,22.77777778,-26.11111111,52.673008098,46.894991907,4.444444444,-32.22222222,0.4695517504,98.082448202
"79",2005,"28-Dec",362,"21-May",141,29.44444444,-30.55555556,239.083672779,268.154327056,1905,18.88888889,-20.55555556,32.776758158,59.933241838,29.44444444,-4.444444444,155.760884829,23.817115074,24.44444444,-22.22222222,49.842907359,68.775092623,7.777777778,-30.55555556,0.703122433,115.628877521
"80",2006,"17-Dec",351,"18-May",138,29.44444444,-35,186.94872719745,221.991273084,1701.8,21.11111111,-29.44444444,26.752304323,75.8636957,29.44444444,-3.888888889,125.200815155,0.78318503,25,-16.66666667,33.716608677,31.815391323,5.555555556,-35,1.27899904245,113.529001031
